Project,Version,Base,Default,KNN,Linear,Logistic,Tree,Forest,XMeans,Base.Partitions,Default.Partitions,KNN.Partitions,Linear.Partitions,Logistic.Partitions,Tree.Partitions,Forest.Partitions,XMeans.Partitions
Chart,1,7.5,29.5,7.5,7.5,7.5,7.5,7.5,23.5,0,0,0,0,0,0,0,0
Chart,10,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
Chart,11,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Chart,12,2.5,3.5,2.5,3.5,3.5,3.5,3.5,3.5,0,0,0,0,0,0,0,0
Chart,13,2.0,8.5,5.0,4.0,9.0,15.0,14.0,4.5,0,0,0,0,0,0,0,0
Chart,14,3.5,1.0,3.5,3.5,3.5,3.5,3.5,5.5,0,0,0,0,0,0,0,0
Chart,15,8.5,11.5,11.5,10.5,8.5,10.5,17.5,11.5,0,0,0,0,0,0,0,0
Chart,16,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0
Chart,17,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0
Chart,18,1.5,1.0,1.5,1.5,1.5,1.5,1.5,1.5,0,1,0,0,0,0,0,0
Chart,19,1.0,3.0,5.0,3.0,1.0,7.0,7.0,1.0,0,2,0,0,0,0,0,2
Chart,2,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0,2,0,0,0,0,0,2
Chart,20,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,0,0,0,0,0,0,0,0
Chart,21,2.5,2.5,4.5,3.5,2.5,4.5,4.5,3.5,0,0,0,0,0,0,0,0
Chart,22,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0
Chart,23,405.5,405.5,405.5,405.5,405.5,405.5,405.5,405.5,0,0,0,0,0,0,0,0
Chart,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0
Chart,25,534,526.0,534,529.5,534,510.0,534,507.5,0,2,0,0,0,0,0,1
Chart,26,163.5,35.5,274,458,34.5,30.5,29.5,37.5,0,1,1,0,2,2,2,1
Chart,3,1.0,1.0,3.0,1.0,1.0,6.0,5.0,1.0,0,2,0,0,0,0,0,2
Chart,4,216,217,217,222,216,229,229,227,0,0,0,0,0,0,0,0
Chart,5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0
Chart,6,4.0,5.5,4.5,4.0,4.0,4.5,4.5,5.5,0,0,0,0,0,0,0,0
Chart,7,20.5,17.5,20.5,20.5,20.5,20.5,20.5,21.0,0,1,0,0,0,0,0,0
Chart,8,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0
Chart,9,1.0,2.0,7.0,1.0,1.0,8.0,9.0,6.0,0,0,0,0,0,0,0,0
