Project,Version,Base,Default,KNN,Linear,Logistic,Tree,Forest,XMeans,Base.Partitions,Default.Partitions,KNN.Partitions,Linear.Partitions,Logistic.Partitions,Tree.Partitions,Forest.Partitions,XMeans.Partitions
Closure,1,1511,1565,1505,1505,1505,660,660,1508,0,0,0,0,0,0,0,0
Closure,10,23.5,8.0,23.5,23.5,28.5,24.5,23.5,11.0,0,1,0,0,0,0,0,1
Closure,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1
Closure,101,1042,1042,1042,1042,1042,1042,1042,1042,0,0,0,0,0,0,0,0
Closure,102,986.0,1064.0,986.0,986.0,987.0,989.0,986.0,1047.0,0,0,0,0,0,0,0,0
Closure,103,133.5,199.5,133.5,133.5,133.5,123.5,133.5,195.5,0,0,0,0,0,0,0,0
Closure,104,1.0,9.0,1.0,1.0,1.0,1.0,1.0,6.0,0,0,0,0,0,0,0,0
Closure,105,33.5,38.5,33.5,33.5,33.5,35.5,33.5,36.5,0,0,0,0,0,0,0,0
Closure,106,45.5,66.0,45.5,45.5,4.0,6.5,45.5,4.0,0,0,0,0,0,0,0,0
Closure,107,962.5,971.0,962.5,962.5,962.5,962.5,962.5,971.5,0,0,0,0,0,0,0,0
Closure,108,108.5,190.5,108.5,108.5,110.5,120.5,108.5,196.5,0,0,0,0,0,0,0,0
Closure,109,3.0,67.0,3.0,3.0,3.0,4.0,3.0,44.0,0,0,0,0,0,0,0,0
Closure,11,111.0,235.0,111.0,111.0,114.0,111.0,111.0,200.0,0,0,0,0,0,0,0,0
Closure,110,20.5,112.5,20.5,20.5,20.5,20.5,20.5,86.5,0,0,0,0,0,0,0,0
Closure,111,11.0,92.0,11.0,11.0,11.0,11.0,11.0,76.0,0,0,0,0,0,0,0,0
Closure,112,60.5,178.5,60.5,73.5,63.5,77.5,60.5,162.5,0,0,0,0,0,0,0,0
Closure,114,119.0,74.0,119.0,119.0,119.0,119.0,119.0,63.0,0,1,0,0,0,0,0,1
Closure,115,848,848,848,848,848,924,848,849,0,0,0,0,0,0,0,0
Closure,116,262,262,262,262,262,262,262,262,0,0,0,0,0,0,0,0
Closure,117,17.0,24.0,17.0,17.0,20.0,17.0,17.0,49.0,0,1,0,0,0,0,0,2
Closure,118,2915.0,2915.0,2915.0,2915.0,2915.0,2914.5,2915.0,2915.0,0,0,0,0,0,0,0,0
