Project,Version,Base,Default,KNN,Linear,Logistic,Tree,Forest,XMeans,Base.Partitions,Default.Partitions,KNN.Partitions,Linear.Partitions,Logistic.Partitions,Tree.Partitions,Forest.Partitions,XMeans.Partitions
Lang,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,0,0,0,0,0,0
Lang,10,32.0,22.0,32.0,32.0,32.0,39,39,22.0,0,1,0,0,0,0,0,1
Lang,11,3,3,3,3,3,3,3,3,0,6,0,0,0,2,3,6
Lang,12,2,2,2,2,2,2,2,2,0,6,5,0,1,2,2,6
Lang,13,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,0,1,0,0,0,0,0,1
Lang,14,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,0
Lang,15,17.5,20.0,6.5,5.5,20.0,20.0,20.0,19.0,0,1,1,0,1,1,1,1
Lang,16,3.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,0,1,1,0,0,1,0,0
Lang,17,6,4.0,6,6,6,6,6,6,0,2,0,0,0,0,0,0
Lang,18,35.5,38.5,39.0,35.5,36.0,41.5,41.5,39.5,0,0,0,0,0,0,0,0
Lang,19,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,1,0,0,0,0,0,0
Lang,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,0,0,1,1,0
Lang,20,2.5,3.0,1.0,2.5,1.0,3.0,2.0,4.0,0,4,1,0,1,1,1,2
Lang,21,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Lang,22,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,0,2,1,0,1,2,2,2
Lang,23,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,0,0,0,0,0,0,0,0
Lang,24,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0,1,0,0,0,0,0,0
Lang,25,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Lang,26,17.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,0,0,0,0,0,0,0,0
Lang,27,18.0,15.0,17.5,1.5,19.0,19.5,1.0,18.5,0,1,1,1,1,1,1,0
Lang,28,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,1,0,0,0,0,0,0
Lang,29,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0,1,0,0,0,0,0,0
Lang,3,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,0,1,0,0,0,1,1,0
Lang,30,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,12,0,0,0,1,1,10
Lang,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2,0,0,0,0,0,2
Lang,32,7.0,10.0,7.0,7.0,7.0,7.0,7.0,10.0,0,0,0,0,0,0,0,0
Lang,33,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0
Lang,34,50,34,49,50,36,34,34,34,0,0,0,0,0,0,0,0
Lang,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2,0,0,0,0,0,0
Lang,36,4.0,1.0,8.5,4.0,8.5,8.5,8.5,5.5,0,2,0,1,0,0,0,0
Lang,37,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,2
Lang,38,22.0,23.0,22.0,22.0,22.0,23.0,22.5,22.5,0,0,0,0,0,0,0,0
Lang,39,3,3,1.0,3,1.0,1.0,1.0,3,0,5,3,0,2,3,4,3
Lang,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1
Lang,40,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,0,2,0,0,0,1,2,0
Lang,41,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,0,2,2,0,1,2,2,1
Lang,42,4.0,4.0,4.0,4.0,8.0,12,9.0,7.0,0,1,0,0,0,0,0,1
Lang,43,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0
Lang,44,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0
Lang,45,1.5,1.0,1.5,1.5,1.5,1.5,1.5,1.0,0,4,0,0,0,0,0,1
Lang,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,10,0,0,0,3,1,6
Lang,47,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,4,0,0,0,0,0,2
Lang,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2,0,0,0,0,0,0
Lang,49,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,0,0,0,0,0,0,0,0
Lang,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0
Lang,50,11.5,1.0,12.5,1.0,1.0,4.0,4.0,1.0,0,3,0,2,2,2,2,2
Lang,51,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0,1,0,0,0,0,0,0
Lang,52,5,3.0,1.5,5,1.5,1.5,1.5,1.0,0,3,1,0,1,2,2,3
Lang,53,3,3,3,3,3,3,3,3,0,2,0,0,0,0,0,2
Lang,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,1,0
Lang,55,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0
Lang,56,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,0,0,0,0,0,0,0,0
Lang,57,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Lang,58,1.5,2.5,1.0,1.5,1.5,3.5,3.5,1.5,0,1,1,0,0,0,0,0
Lang,59,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0,2,0,0,0,0,0,1
Lang,6,6,4.0,6,6,6,6,6,6,0,2,0,0,0,0,0,0
Lang,60,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,0,1,0,0,0,0,0,0
Lang,61,1.0,1.0,2.0,4.0,3.0,2.0,2.0,5.0,0,2,1,0,2,2,1,0
Lang,62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1
Lang,63,2.5,1.0,2.5,2.5,2.5,2.0,1.0,1.0,0,10,0,0,1,4,3,13
Lang,64,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,0,1,0,0,0,0,0,1
