Project,Version,Base,Default,KNN,Linear,Logistic,Tree,Forest,XMeans,Base.Partitions,Default.Partitions,KNN.Partitions,Linear.Partitions,Logistic.Partitions,Tree.Partitions,Forest.Partitions,XMeans.Partitions
Math,1,5.0,3.0,5.0,5.0,5.0,6.0,6.0,2.0,0,4,5,0,1,3,5,6
Math,10,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0
Math,100,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,0,0
Math,101,4.5,7.5,6.0,4.5,4.5,2.5,2.5,5.5,0,0,0,0,0,1,1,0
Math,102,2.0,2.0,6.0,2.0,2.0,6.0,6.0,2.0,0,0,0,0,0,0,0,0
Math,103,6.5,6.0,8.0,6.5,6.5,1.5,1.5,7.0,0,1,1,0,0,1,1,1
Math,104,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,0,0,0,0,0,0,0,0
Math,105,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0
Math,106,3.5,3.5,3.5,3.5,3.5,3.5,1.5,3.5,0,0,0,0,0,0,1,0
Math,11,11.0,14.5,15.0,17.5,11.0,25.0,23.0,20.5,0,0,0,0,0,0,0,0
Math,12,185.0,185.0,185.0,185.0,185.0,183.5,181.5,185.0,0,0,0,0,0,0,0,0
Math,14,25.0,30.0,25.5,25.5,27.0,27.0,27.0,32.5,0,0,0,0,0,0,0,0
Math,15,18.0,1.0,18.0,18.0,18.0,18.0,18.0,20.0,0,2,0,0,0,0,0,0
Math,16,1.0,11.0,1.0,1.0,1.0,1.0,1.0,8.0,0,2,1,0,0,0,0,0
Math,17,3.5,1.5,1.5,3.5,3.5,1.5,1.5,1.5,0,1,1,0,0,1,1,1
Math,18,92.0,107.0,106.0,92.0,92.0,105.0,109.0,111.0,0,0,0,0,0,0,0,0
Math,19,36.0,39.0,36.0,36.0,36.0,36.0,37.0,40.5,0,0,0,0,0,0,0,0
Math,2,8.0,9.5,8.0,8.0,9.0,14.0,14.0,12.0,0,0,0,0,0,0,0,0
Math,20,91.0,106.5,102.0,93.5,91.0,114.5,111.5,109.5,0,0,0,0,0,0,0,0
Math,21,10.0,10.5,18.0,1.0,10.0,3.0,3.0,12.5,0,0,0,1,0,1,1,0
Math,22,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0
Math,23,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0
Math,24,49,49,49,49,49,49,49,49,0,0,0,0,0,0,0,0
Math,25,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,0,0,0,0,0,0,0,0
Math,26,7.0,6.0,1.0,7.0,7.0,1.0,1.0,3.0,0,2,2,0,0,2,2,3
Math,27,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0
Math,28,24.0,43.0,38.5,24.0,24.0,40.5,40.5,43.5,0,0,0,0,0,0,0,0
Math,29,3.5,4.0,12.0,3.5,3.5,10.0,9.0,7.5,0,0,0,0,0,0,0,0
Math,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Math,30,13.5,27,14.0,14.0,13.5,14.0,14.0,27,0,0,0,0,0,0,0,0
Math,31,29.5,25.5,63,33.5,29.5,27.5,27.0,52.0,0,1,0,0,0,1,1,3
Math,32,53.5,54.5,75.5,55.5,53.5,75.5,75.5,55.5,0,0,0,0,0,0,0,0
Math,33,19.5,45.0,26.5,19.5,19.5,29.0,29.0,42.5,0,0,0,0,0,0,0,0
Math,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
Math,35,5,1.5,5,5,5,2.0,2.5,2.0,0,1,0,0,0,2,1,1
Math,36,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0
Math,37,3.5,6.0,12.0,5.0,3.5,14.0,13.0,6.0,0,0,0,0,0,0,0,0
Math,38,16.0,20.5,18.0,16.0,16.0,21.0,21.5,22.5,0,0,0,0,0,0,0,0
Math,39,36.5,22.0,36.5,36.5,36.5,9.0,42.5,18.0,0,1,0,0,0,1,0,1
Math,4,1.0,4.5,1.0,3.0,1.0,7.0,11.0,2.0,0,2,0,0,0,0,0,2
Math,40,16.0,26.0,21.0,16.0,16.0,26.0,26.0,26.0,0,0,0,0,0,0,0,0
Math,41,4.5,5.0,5.5,4.5,4.5,1.0,1.0,1.0,0,0,0,0,0,2,2,2
Math,42,8.5,35.0,8.5,8.5,8.5,8.5,11.5,32.0,0,0,0,0,0,0,0,0
Math,43,53,48,53,53,53,53,53,47,0,1,0,0,0,0,0,1
Math,44,77.0,36.0,4.0,77.0,77.0,39.0,34.0,50.0,0,1,1,0,0,1,1,1
Math,45,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0,0,0,0,0,1,0,1
Math,46,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,1,0,0,0,0,0,0
Math,47,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,3,1,0,0,2,2,1
Math,48,22.5,28.0,23.5,22.5,22.5,29.0,28.0,32.0,0,0,0,0,0,0,0,0
Math,49,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,0,0,0,0,0,0,0,0
Math,5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0
Math,50,12.5,18.0,13.5,12.5,12.5,19.0,18.5,22.0,0,0,0,0,0,0,0,0
Math,51,19.5,25.0,20.5,19.5,19.5,26.0,25.0,29.0,0,0,0,0,0,0,0,0
Math,52,2.0,4.0,5.0,3.0,2.0,8.0,7.0,6.0,0,0,0,0,0,0,0,0
