Project,Version,Base,Default,KNN,Linear,Logistic,Tree,Forest,XMeans,Base.Partitions,Default.Partitions,KNN.Partitions,Linear.Partitions,Logistic.Partitions,Tree.Partitions,Forest.Partitions,XMeans.Partitions
Mockito,1,206,259,206,206,206,206,206,206,0,0,0,0,0,0,0,0
Mockito,11,283.5,287.0,283.5,283.5,283.5,283.5,283.5,287.0,0,0,0,0,0,0,0,0
Mockito,12,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
Mockito,15,207.5,209.0,207.5,207.5,207.5,207.5,208.0,209.0,0,0,0,0,0,0,0,0
Mockito,16,398.0,404.0,398.0,398.0,398.0,398.5,398.0,400.5,0,0,0,0,0,0,0,0
Mockito,18,279.5,285.5,279.5,279.5,279.5,279.5,279.5,282.5,0,0,0,0,0,0,0,0
Mockito,19,675.0,687.0,675.0,675.0,675.0,675.0,675.0,680.5,0,0,0,0,0,0,0,0
Mockito,2,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,0,1,1,0,1,1,1,1
Mockito,20,612.0,617.0,612.0,612.0,612.0,622.0,612.0,613.5,0,0,0,0,0,0,0,0
Mockito,21,211.5,4.0,212.0,211.5,211.5,211.5,211.5,4.0,0,1,0,0,0,0,0,1
Mockito,22,259.0,259.5,259.5,259.0,259.0,259.0,259.0,259.5,0,0,0,0,0,0,0,0
Mockito,28,252.5,254.0,252.5,252.5,252.5,252.5,252.5,254.0,0,0,0,0,0,0,0,0
Mockito,29,7.5,10.5,7.5,7.5,7.5,8.5,8.5,10.5,0,0,0,0,0,0,0,0
Mockito,3,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0
Mockito,38,413.5,281.5,414.0,413.5,413.5,415.0,415.0,281.0,0,0,0,0,0,0,0,0
Mockito,5,523.5,523.5,523.5,523.5,523.5,523.5,523.5,523.5,0,1,0,0,0,0,0,1
Mockito,7,191.0,191.5,191.0,191.0,191.0,191.0,191.0,194,0,0,0,0,0,0,0,0
Mockito,8,14.0,1.0,14.0,14.0,14.0,14.0,14.0,1.0,0,1,0,0,0,0,0,1
