Project,Version,Base,Default,KNN,Linear,Logistic,Tree,Forest,XMeans,Base.Partitions,Default.Partitions,KNN.Partitions,Linear.Partitions,Logistic.Partitions,Tree.Partitions,Forest.Partitions,XMeans.Partitions
Time,1,25.0,25.0,2.0,25.0,25.0,2.0,25.0,25.0,0,3,0,0,0,0,0,0
Time,10,20.5,22.0,32.5,19.5,17.5,81.5,39.5,28.0,0,2,0,0,0,0,0,2
Time,11,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,0,0,0,0,0,0,0,0
Time,12,6.0,926.5,937.0,9.0,927.5,895.5,925.5,926.0,0,4,0,0,0,0,0,1
Time,13,674.5,677.0,674.5,674.5,674.5,678.0,678.0,675.5,0,0,0,0,0,0,0,0
Time,14,1.5,1.0,17.0,1.5,1.5,20.0,22.0,1.0,0,2,1,0,0,0,0,1
Time,15,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0,2,2,1,2,2,2,1
Time,16,1.0,1026.5,28.0,1.0,6.0,1026.0,1026.5,1.0,0,2,2,0,0,0,0,2
Time,17,4.0,3.0,3.0,4.0,4.0,633.5,633.5,1.0,0,1,1,0,0,1,1,2
Time,18,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,5,0,0,1,0,1,5
Time,19,11.0,16.0,50.0,11.0,8.0,819.0,11.0,11.0,0,1,0,0,1,1,1,1
Time,2,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,0,5,0,0,0,0,0,2
Time,20,902.0,902.0,871.5,902.0,902.0,872.0,872.0,815.0,0,0,0,0,0,0,0,0
Time,21,530.0,529.5,45.0,530.0,529.5,2.0,2.0,1.0,0,3,0,0,0,1,1,2
Time,22,14.0,32.0,40.5,14.0,21.0,25.0,25.0,4.0,0,3,0,0,1,0,0,3
Time,23,4.5,6.0,2.5,4.5,4.5,4.5,1.5,4.5,0,0,0,0,0,0,0,0
Time,24,193,193,189,193,192,189,189,191,0,1,0,0,0,0,0,0
Time,25,19.0,27.0,5.0,19.0,19.0,2.0,6.0,90.0,0,1,1,0,1,1,1,1
Time,26,959.5,923.0,934.5,961.0,959.0,895.0,895.0,961.0,0,0,0,0,0,0,0,0
Time,27,44.5,23.5,46.5,44.5,48.5,48.5,48.5,53.5,0,2,0,0,0,0,0,0
Time,3,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,0,10,0,0,0,0,0,3
Time,4,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,0,2,0,0,0,0,0,1
Time,5,3.0,6.0,3.0,3.0,3.0,4.0,4.0,3.0,0,1,0,0,0,0,0,1
Time,6,92.5,26.0,83.5,85.5,87.5,84.5,10.5,26.0,0,3,0,1,0,1,1,2
Time,7,1031.5,1031.5,40.5,1031.5,1031.5,45.5,19.5,1031.5,0,2,0,0,0,0,0,2
Time,8,380.0,1.0,6.0,380.0,1.0,5.0,5.0,379.5,0,2,2,0,2,2,2,1
Time,9,380.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,0,3,2,1,3,3,3,2
